Date,MaxTemp,MinTemp,TOTALDEMAND,RRP,DAILYT
2018-11-18,25.9499999999995,9.349999999999957,3835.1304166666578,87.20166666666653,6077411.434399988
2018-11-19,31.533333333334863,12.433333333333136,4749.105624999979,100.51229166666724,7388534.681800097
2018-11-20,27.59999999999964,21.733333333333192,4930.44270833337,107.64062500000007,7613374.19819994
2018-11-21,22.700000000000717,11.66666666666629,4442.424791666683,99.88208333333311,6426220.452600158
2018-11-22,17.16666666666751,9.466666666666804,4469.9512500000055,76.14645833333309,7029860.787400087
2018-11-23,14.699999999999818,10.90000000000005,4732.608333333313,91.16916666666684,8584674.64399999
2018-11-24,17.133333333333223,11.45000000000004,4223.004999999995,108.4975000000003,7364992.491799885
2018-11-25,19.049999999999525,12.466666666666875,4010.0170833333227,115.63541666666687,6734511.19520006
2018-11-26,18.599999999999714,11.00000000000003,4606.150208333334,110.92854166666673,6665566.91960008
2018-11-27,20.900000000000087,13.533333333333026,4571.100833333354,108.38979166666662,6619268.100999943
2018-11-28,21.69999999999967,14.26666666666637,4445.201041666684,96.51812500000025,6433814.046999944
2018-11-29,19.33333333333317,13.833333333333771,4691.114166666658,116.5041666666658,6547551.57280008
2018-11-30,20.333333333333716,14.80000000000022,4584.659166666668,106.26645833333308,6325791.311000049
2018-12-01,32.066666666666194,9.33333333333328,5500.9529166667035,93.26145833333435,6671087.979799723
2018-12-02,19.599999999999486,12.366666666666516,4842.047083333305,92.6010416666677,6238702.605599993
2018-12-03,23.23333333333322,12.099999999999676,4064.2629166666748,63.14833333333327,6889262.126599932
2018-12-04,20.033333333333413,12.966666666666665,4994.859583333346,74.0914583333333,6477301.751600136
2018-12-05,25.89999999999946,13.099999999999666,4636.406458333335,61.33458333333331,6676122.39919984
2018-12-06,35.9333333333343,12.53333333333313,5302.553958333306,74.39791666666726,9670904.819999991
2018-12-07,38.566666666666826,25.33333333333296,6073.629166666706,108.26541666666807,12984149.938000122
2018-12-08,28.86666666666656,22.433333333332815,4801.327083333343,45.995625000000345,9097211.698600102
2018-12-09,20.966666666665834,15.766666666666627,4705.626666666697,79.04083333333311,6885064.605599991
2018-12-10,21.000000000000387,14.999999999999977,4602.388958333358,87.48812500000008,6440956.392000088
2018-12-11,25.36666666666618,12.799999999999613,4756.649791666681,103.71937499999972,6688780.929000008
2018-12-12,34.333333333333705,14.75,5404.811041666665,176.18458333333504,9057714.745200027
2018-12-13,20.399999999999697,16.800000000000114,4791.097083333344,99.86312500000018,7498001.693600007
2018-12-14,22.866666666667356,16.0000000000001,4584.394375000008,91.05083333333333,6961429.867999875
2018-12-15,24.966666666667216,17.033333333333758,4274.047708333315,101.12979166666689,6631577.072799987
2018-12-16,23.033333333333914,16.049999999999574,4129.615624999987,101.04958333333296,6408811.943000014
2018-12-17,21.533333333332298,14.899999999999702,4700.183333333316,99.66770833333261,6707105.955399893
2018-12-18,20.899999999999636,16.10000000000014,4728.546041666666,102.9039583333337,6652547.627399996
2018-12-19,26.300000000000974,16.74999999999999,4996.135208333369,113.49770833333254,7279432.172800002
2018-12-20,21.29999999999984,16.500000000000114,4661.688541666668,74.89229166666645,7042175.019599941
2018-12-21,22.133333333334367,14.966666666666681,4253.163541666664,65.50291666666615,6747139.229800084
2018-12-22,19.06666666666573,13.533333333333088,3863.572499999984,68.59812499999991,6022932.561200104
2018-12-23,25.60000000000097,10.80000000000008,3955.7664583333244,63.55229166666695,6058805.999999985
